tid;b_m;capex;d_phi;d_v;g_m;id;opex;r_sc;s_rated;tap_max;tap_min;tap_neutr;tap_side;v_hv;v_lv;x_sc
12149;0;0;0;-2.5;0;transformer_type_lb78ce8d6ef8e0eef740e9ef708e3ee8f5c90a90866d46390b2eabbc0ae975ef8fI;0;100;100;3;1;2;f;10;0.400000005960464;NaN
12150;0;0;0;-2;0;transformer_type_tei34f9b27042737e7ec3ed9b5c1b360bb17478575d16e88569960c0f2564395f74;0;1.74999991804362;100.000001490116;3;1;2;f;10;0.400000005960464;39.961699821243
12151;0;0;0;-2.5;0;transformer_type_gng6062070eba6fb7820794fe63aace313627a6144464dfe863cbdcc399892d8d14rebb;0;1.74999991804362;100.000001490116;3;1;2;f;10;0.400000005960464;36.4580242223976
12152;0;0;0;-2.5;0;transformer_type_nrb572cf014b1134c039e49d1ff058b3f25ac6ee281dc325f043809cbc66c59c991ina;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;15.3597743216767
12156;0;0;0;-2;0;transformer_type_fi4f44a9e4a0064fba6dfd2b4275fbbacb3717fff406496c1bbe3f3d304bf65229rm;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;16.3997885732563
12159;0;0;0;-4;0;transformer_type_dene161d607304dc5d33aee3da4dfa7b3fb0bcbc6be565b58dd2f106b3347cc69aan;0;0.0179687497904524;400.000005960464;3;1;2;f;10;0.400000005960464;10.2749844689389
12161;0;0;0;-4;0;transformer_type_i726e2d7fe46a7a93c824dfe944a3a22c69258d5081a62cdb8e440ca64a6c6194gbht;0;0.358886741778407;159.999996423721;3;1;2;f;10;0.400000005960464;23.1222157890639
12162;0;0;0;-4;0;transformer_type_ebbb7d820c84cfef47d98156c8154d9d017b71c30ae407eedaa5b4073e927963adle;0;0.358886741778407;159.999996423721;3;1;2;f;10;0.400000005960464;25.1849449269553
12163;0;0;0;-2;0;transformer_type_Gg663663a9790cc5de85a34ef577c1f662f18917d17cd7b67081df035e9a849641mdd;0;1.74999991804362;100.000001490116;3;1;2;f;10;0.400000005960464;37.959681518852
12164;0;0;0;-2.5;0;transformer_type_t766ef2bd207ca4e54a6c76d240493bfbfec0b577b081fb8ea8332e3500e5a872b;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;16.3997885732563
12165;0;0;0;-4;0;transformer_type_ba04252ab00802cb464b3ae0d95dfaef3ba6288fec0bf2a230d495ce63ea2834fGtl;0;1.74999991804362;100.000001490116;3;1;2;f;10;0.400000005960464;35.9574386323399
12168;0;0;0;-2.5;0;transformer_type_dn8fb6c6872fb09366c101b506197a92ff9c7911a7328bce391323d132252d2843h;0;0.00411922549628015;629.999995231628;3;1;2;f;10;0.400000005960464;6.30158604836703
12169;0;0;0;-4;0;transformer_type_efeId88a60bb4cd33cf1e714bf6f54df46b0286ea7e3a95b32ba1d4a3f9e5cdd8280err;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;10.7596785586397
12170;0;0;0;-2.5;0;transformer_type_n78ce8d6ef8e0eef740e9ef708e3ee8f5c90a90866d46390b2eabbc0ae975ef8flatd;0;999999.905005104;1.00000004749745;3;1;2;f;10;0.400000005960464;NaN
12172;0;0;0;-4;0;transformer_type_drnd8dbf574ccbca9561ac133464adb0c19e5b969f0b3cb6bb729948fbc8ccf3c65tet;0;0.124999998137355;200.000002980232;3;1;2;f;10;0.400000005960464;18.4995776606416
12174;0;0;0;-4;0;transformer_type_rh614cfa3d00d83caf20eaede7280452af2fe8dbd36ddbcd26db0921ba4c054deaei;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;15.9997836785287
12175;0;0;0;-2.5;0;transformer_type_ten8a857cb943141a4d142c5a8febdfaef08f227ea56c7206798155b09c3b79cc1beb;0;0.0179687497904524;400.000005960464;3;1;2;f;10;0.400000005960464;9.62498284536486
12176;0;0;0;-2.5;0;transformer_type_r427642c95fb276384311d96c965ef7b0c8567f94f38ab7fbf1ce6c9d6fcaaefemei;0;0.0179687497904524;400.000005960464;3;1;2;f;10;0.400000005960464;10.5499840160812
12177;0;0;0;0;0;transformer_type_idendec6d346215d047f6ab7a114f2b6a18ef5f3e08d547cee685032c9f52c7825f3h;0;4.61920013427734;500;0;0;0;f;20;0.400000005960464;32.6598408205034
12178;0;0;0;-2;0;transformer_type_Irme2dd9bf4865c4890610d6537b0e09e581fcae6680544440a799128db34e9560darI;0;0.0179687497904524;400.000005960464;3;1;2;f;10;0.400000005960464;10.2499838587846
12179;0;0;0;-2.5;0;transformer_type_e09df584957a11d2548e018647c535a2997a970d53a6a9582d38f0d7e1c6527fall;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;14.7997663294211
12180;0;0;0;-4;0;transformer_type_te9ed4004be5b04d36b88f1c90f0c6890efa6e935549725c335152cd9b48998405b;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;16.8397946216358
12181;0;0;0;1.77777802944183;0;transformer_type_ahncf3dca1d38a09c25f09858a603f940a75eb4643670fd608fcca2e656ca965551bhnb;0;0;16000;19;1;10;f;30;10;4.61249989271164
12182;0;0;0;-4;0;transformer_type_gnir85b6ed0797eda0be6173e642b46db1650c0886d3a1e7e247f6a94cdba5dfadf9t;0;0.0832000017166138;250;3;1;2;f;10;0.400000005960464;15.1997721022841
