uuid;tid;x_coord;y_coord;id;in_operation;is_slack;operates_from;operates_until;scenario;subnet;v_rated;v_target;volt_lvl
a43dc596-394e-369d-9685-51412189d494;12244;12.8273;52.2895;NS_NET126_F4_(7);t;f;;;;126;0.400000005960464;1;NS
84830471-2d9d-389a-8374-5220b6b3037d;12264;12.8273;52.2895;NS_NET146_F1_(1);t;f;;;;146;0.400000005960464;1;NS
9efd2e1d-95de-3821-98a3-b8366e0d3f63;12276;12.8273;52.2895;NS_NET146_F1_(20);t;f;;;;146;0.400000005960464;1;NS
aa888efa-8686-3f91-bf15-28d988cdf930;12277;12.8273;52.2895;NS_NET146_F1_(21);t;f;;;;146;0.400000005960464;1;NS
37e2434d-4e68-3f38-9768-716b62a1eb11;12291;12.8273;52.2895;NS_NET146_F1_(34);t;f;;;;146;0.400000005960464;1;NS
ba035dd0-af80-3e82-a2e4-5938c8a962b4;12294;12.8273;52.2895;NS_NET146_F1_(37);t;f;;;;146;0.400000005960464;1;NS
85531676-bbbc-3fc0-8715-c21fd1227671;12297;12.8273;52.2895;NS_NET146_F1_(4);t;f;;;;146;0.400000005960464;1;NS
be2cf965-502c-3915-b895-7e276aaf9352;12306;12.8273;52.2895;NS_NET146_F2_(12);t;f;;;;146;0.400000005960464;1;NS
da4ddcc0-3857-3c5e-b81c-704173b5d046;12319;12.8273;52.2895;NS_NET146_F2_(24);t;f;;;;146;0.400000005960464;1;NS
5e07cc15-e266-3bbc-8146-e8afe91d3fab;12322;12.8273;52.2895;NS_NET146_F2_(27);t;f;;;;146;0.400000005960464;1;NS
fcaf072e-703b-3bf4-864f-0588773c5caf;12324;12.8273;52.2895;NS_NET146_F2_(3);t;f;;;;146;0.400000005960464;1;NS
4514da76-81cb-38c5-ad90-43b01dcf16ef;12329;12.8273;52.2895;NS_NET146_F2_(8);t;f;;;;146;0.400000005960464;1;NS
9275889d-b98b-39a0-92ab-a8d3c2cf0d90;12331;12.8273;52.2895;NS_NET146_F3_(1);t;f;;;;146;0.400000005960464;1;NS
876424d6-6ff2-3d61-ad61-b56a45d9e434;12332;12.8273;52.2895;NS_NET146_F3_(10);t;f;;;;146;0.400000005960464;1;NS
15d4cea2-22a8-322b-8444-53dadfc89b9b;12334;12.8273;52.2895;NS_NET146_F3_(12);t;f;;;;146;0.400000005960464;1;NS
de16de94-7b04-3688-859a-8a9c2386b106;12340;12.8273;52.2895;NS_NET146_F3_(18);t;f;;;;146;0.400000005960464;1;NS
6395bdc3-09c0-3a49-a61b-3851a0e502d5;12343;12.8273;52.2895;NS_NET146_F3_(20);t;f;;;;146;0.400000005960464;1;NS
aef2c8d7-977b-361c-ab93-5e0b9309e9f8;12345;12.8273;52.2895;NS_NET146_F3_(22);t;f;;;;146;0.400000005960464;1;NS
ae59d14a-147f-39fb-ae5d-980e3277a391;12353;12.8273;52.2895;NS_NET146_F3_(3);t;f;;;;146;0.400000005960464;1;NS
708e30d3-88a1-3d00-8f19-d32af36d3276;12357;12.8273;52.2895;NS_NET146_F3_(4);t;f;;;;146;0.400000005960464;1;NS
5b51f24e-3ed8-3f6d-90d5-af39ac68639b;12360;12.8273;52.2895;NS_NET146_F3_(7);t;f;;;;146;0.400000005960464;1;NS
0797aa55-2479-3443-877e-fdf3aca715e1;12370;12.8273;52.2895;NS_NET146_F4_(16);t;f;;;;146;0.400000005960464;1;NS
85bcdd25-7641-3bff-84eb-599ed5b4fc66;12371;12.8273;52.2895;NS_NET146_F4_(17);t;f;;;;146;0.400000005960464;1;NS
e02d9281-ee79-3f3d-bfd8-f8ee44ffc39e;12376;12.8273;52.2895;NS_NET146_F4_(6);t;f;;;;146;0.400000005960464;1;NS
daea3ea6-5237-3280-a44c-fd57a1cac143;12379;12.8273;52.2895;NS_NET146_F4_(9);t;f;;;;146;0.400000005960464;1;NS
67271762-3327-38e2-b0f5-85180b42338a;12281;12.8273;52.2895;NS_NET146_F1_(25);t;f;;;;146;0.400000005960464;1;NS
