uuid;tid;amount;st_astext;id;in_operation;length;node_a;node_b;operates_from;operates_until;scenario;type
a1cad287-850a-3e10-8b84-65e9b4844882;235864;1;;LTG_NS_NET116_ONS-NS_NET116_S3_1;t;0.0299999993294477;12115;12126;;;;3
3512489c-9e7d-3cff-8e86-9d04c188da0b;235865;1;;LTG_NS_NET116_S1_1-NS_NET116_S1_2;t;0.0299999993294477;12116;12117;;;;16
f89311a0-a328-3f40-8572-f8a36ae5dcec;235866;1;;LTG_NS_NET116_S1_2-NS_NET116_S1_3;t;0.0299999993294477;12117;12118;;;;10
57b0274d-3d2d-3abd-8800-cd8bc5a4ff3f;235867;1;;LTG_NS_NET116_S1_3-NS_NET116_S1_4;t;0.0299999993294477;12118;12119;;;;10
fdfce3d5-6ceb-35d7-9207-e4a1a8e3cc4b;235850;1;;LTG_MS3_01-MS3_02;t;2;12099;12100;;;;4
0055a0a6-21b3-300e-9abd-063d2395746b;235869;1;;LTG_NS_NET116_S2_1-NS_NET116_S2_2;t;0.0299999993294477;12121;12122;;;;3
6b37b18f-eac5-3991-aae1-158a5f16a8b4;235871;1;;LTG_NS_NET116_S2_3-NS_NET116_S2_4;t;0.0299999993294477;12123;12124;;;;16
afd1628f-f500-323d-904d-e4d1e74c7f03;235872;1;;LTG_NS_NET116_S2_4-NS_NET116_S2_5;t;0.0299999993294477;12124;12125;;;;16
b40270cd-ca2b-3127-80fc-216ec5c571f2;235875;1;;LTG_NS_NET116_S3_3-NS_NET116_S3_4;t;0.0299999993294477;12128;12129;;;;3
a39a43b6-c337-30e0-af98-a696feb063d9;235876;1;;LTG_NS_NET116_S3_4-NS_NET116_S3_5;t;0.0299999993294477;12129;12130;;;;16
c7f37676-b869-3cb9-a6fb-bb47e7364b72;236019;1;;LTG_NS_NET146_F2_(1)-NS_NET146_ONS;t;0.0219999998807907;12303;12380;;;;10
59f3c626-51fa-31a0-86eb-877c61c36320;235856;1;;LTG_MS4_01-MS4_02;t;2;12107;12108;;;;4
8f3c0ffe-e2ea-3633-95a3-94eb945cf4b9;235902;1;;LTG_NS_NET126_F2_(1)-NS_NET126_ONS;t;0.0219999998807907;12170;12247;;;;10
2ce970d6-5975-320c-8300-a266ef8eb5dc;235874;1;;LTG_NS_NET116_S3_2-NS_NET116_S3_3;t;0.0299999993294477;12127;12128;;;;16
2b8e1ef3-c416-33b6-9dce-c54c03390c99;235878;1;;LTG_NS_NET126_F1_(1)-NS_NET126_ONS;t;0.120999999344349;12131;12247;;;;10
6c307f91-85b4-35e4-aa92-bd8783690ee0;235881;1;;LTG_NS_NET126_F1_(11)-NS_NET126_F1_(12);t;0.0189999993890524;12133;12134;;;;3
c9912e0f-03da-3789-9384-bf5a93933778;235966;1;;LTG_NS_NET126_F3_(1)-NS_NET126_ONS;t;0.0309999994933605;12198;12247;;;;3
9f3e0d03-750e-3744-82b5-f5420a57f252;235860;1;;LTG_MS4_05-MS4_06;t;0.400000005960464;12111;12112;;;;2
82098b2d-1677-39f1-ab54-dc8ac9f8da3d;235846;1;;LTG_MS2_03-MS2_04;t;6;12093;12094;;;;4
