SuSa,SuSu,SuWd,TrSa,TrSu,TrWd,WiSa,WiSu,WiWd,quarterHour
37.0,19.4,340.0,61.6,19.0,391.7,48.4,30.5,489.0,36
40.1,20.0,341.2,62.7,19.0,393.1,50.9,30.5,489.9,37
43.0,20.5,338.3,62.8,19.0,391.5,53.0,30.4,486.7,38
45.4,20.8,335.0,62.5,18.9,389.9,54.9,30.3,482.6,39
47.2,20.9,334.1,62.2,18.8,390.6,56.6,30.1,480.5,40
48.4,20.9,334.9,62.2,18.7,392.9,57.9,30.0,479.8,41
49.0,20.8,336.3,62.3,18.8,395.7,58.7,30.0,479.6,42
49.2,20.8,336.9,62.5,18.9,397.5,58.7,30.3,478.9,43
49.0,21.1,335.6,62.6,19.3,397.3,57.8,30.8,476.5,44
48.4,21.5,332.0,62.6,19.8,395.0,56.3,31.4,472.0,45
47.3,22.0,326.2,62.0,20.4,390.6,54.6,31.9,464.8,46
45.4,22.7,318.0,60.6,20.8,384.2,53.0,32.2,454.3,47
42.9,23.4,307.4,58.2,21.1,375.8,51.7,32.1,440.0,48
39.9,24.1,294.7,55.0,21.2,364.5,50.6,31.6,422.0,49
36.8,24.5,280.4,51.3,21.2,349.3,49.3,31.0,400.2,50
34.1,24.6,265.0,47.3,20.8,329.3,47.3,30.3,374.8,51
31.9,24.3,249.2,43.4,20.3,304.7,44.6,29.6,346.4,52
30.3,23.8,235.5,39.8,19.6,279.8,41.4,29.0,319.4,53
29.2,23.2,226.5,36.6,19.1,260.3,38.4,28.5,298.8,54
28.4,22.7,225.2,34.1,18.9,251.7,36.0,28.4,289.6,55
27.8,22.5,232.9,32.4,19.1,257.5,34.5,28.6,294.8,56
27.4,22.5,245.5,31.3,19.7,272.9,33.9,29.0,309.8,57
27.0,22.6,257.4,30.7,20.3,290.9,33.9,29.6,328.0,58
26.5,22.7,263.1,30.3,20.8,304.7,34.1,30.3,342.6,59
25.9,22.8,258.6,29.8,21.1,309.0,34.3,30.9,348.5,60
25.4,22.8,245.9,29.4,21.2,304.7,34.4,31.4,345.8,61
24.9,22.8,228.5,28.9,21.1,294.3,34.4,31.9,336.4,62
24.6,22.7,210.1,28.4,20.8,280.1,34.1,32.2,321.8,63
24.6,22.6,193.3,27.9,20.4,264.3,33.5,32.4,303.4,64
24.7,22.4,177.7,27.5,19.9,246.5,32.9,32.4,281.9,65
24.8,22.5,162.3,27.0,19.4,226.2,32.4,32.4,257.6,66
24.6,22.7,145.7,26.5,18.9,202.5,32.2,32.2,230.9,67
24.1,23.3,127.4,26.0,18.6,175.4,32.4,31.9,202.5,68
23.5,23.9,108.5,25.4,18.4,146.9,33.0,31.7,174.0,69
22.9,24.5,90.7,24.9,18.5,119.7,33.6,31.7,147.5,70
22.7,24.6,75.7,24.6,18.9,96.5,34.1,32.2,124.9,71
23.0,24.2,64.7,24.4,19.8,79.3,34.3,33.2,107.6,72
23.6,23.6,57.0,24.4,20.9,67.2,34.2,34.5,94.7,73
24.3,23.0,51.6,24.5,21.9,59.0,34.1,35.5,84.6,74
24.6,22.7,47.3,24.6,22.7,53.0,34.1,36.0,75.7,75
24.5,23.0,43.3,24.7,23.0,48.1,34.1,35.5,66.9,76
24.0,23.7,39.7,24.8,23.0,44.0,34.3,34.3,58.5,77
23.3,24.3,36.5,24.7,22.9,40.7,34.3,33.1,51.1,78
22.7,24.6,34.1,24.6,22.7,37.9,34.1,32.2,45.4,79
22.3,24.3,32.5,24.3,22.7,35.6,33.5,31.9,41.8,80
22.2,23.7,31.6,24.1,22.8,33.6,32.6,32.1,39.8,81
22.3,23.0,31.0,24.1,22.8,31.9,31.5,32.3,38.7,82
22.7,22.7,30.3,24.6,22.7,30.3,30.3,32.2,37.9,83
23.3,23.0,29.3,25.6,22.3,28.7,29.0,31.5,36.7,84
23.9,23.6,28.2,26.8,21.8,27.1,27.8,30.4,35.2,85
24.4,24.3,27.2,27.9,21.3,25.7,26.9,29.2,33.6,86
24.6,24.6,26.5,28.4,20.8,24.6,26.5,28.4,32.2,87
24.3,24.4,26.2,28.0,20.6,23.8,26.7,28.1,30.9,88
23.8,23.9,26.2,27.0,20.6,23.4,27.3,28.2,29.9,89
23.2,23.2,26.4,25.8,20.7,23.0,28.0,28.4,29.1,90
22.7,22.7,26.5,24.6,20.8,22.7,28.4,28.4,28.4,91
22.6,22.6,26.4,23.8,21.0,22.3,28.4,28.1,27.8,92
22.7,22.6,26.0,23.3,21.1,21.9,28.0,27.6,27.2,93
22.8,22.8,25.4,23.0,21.0,21.4,27.3,27.0,26.8,94
22.7,22.7,24.6,22.7,20.8,20.8,26.5,26.5,26.5,95
